"111";"Затраты энергии неподвижным объектом";"Вредные факторы, действующие на объект";"Вынесения"
"112";"Затраты энергии неподвижным объектом";"Вредные факторы, действующие на объект";"Обратить вред в пользу"
"113";"Затраты энергии неподвижным объектом";"Вредные факторы самого объекта";"Периодического действия"
"114";"Затраты энергии неподвижным объектом";"Вредные факторы самого объекта";"Обратить вред в пользу"
"115";"Затраты энергии неподвижным объектом";"Удобство изготовления";"Дробления"
"116";"Затраты энергии неподвижным объектом";"Удобство изготовления";"Асиметрия"
"117";"Затраты энергии неподвижным объектом";"Сложность контроля и измерения";"Периодического действия"
"118";"Затраты энергии неподвижным объектом";"Сложность контроля и измерения";"Частичного или избыточного действия"
"119";"Затраты энергии неподвижным объектом";"Сложность контроля и измерения";"Самообслуживания"
"120";"Затраты энергии неподвижным объектом";"Производительность";"Дробления"
"121";"Затраты энергии неподвижным объектом";"Производительность";"Универсальности"
"122";"Потери информации";"Скорость";"Копирования"
"123";"Потери информации";"Время действия подвижного объекта";"Предварительного действия"
"124";"Потери информации";"Время действия неподвижного объекта";"Предварительного действия"
"125";"Потери информации";"Потери времени";"Посредника"
"126";"Потери информации";"Потери времени";"Копирования"
"127";"Потери информации";"Надёжность";"Предварительного действия"
"128";"Потери информации";"Надёжность";"Обратной связи"
"129";"Потери информации";"Вредные факторы, действующие на объект";"Обратить вред в пользу"
"130";"Потери информации";"Вредные факторы, действующие на объект";"Предварительного действия"
"131";"Потери информации";"Вредные факторы, действующие на объект";"Дробления"
"132";"Потери информации";"Вредные факторы самого объекта";"Предварительного действия"
"133";"Потери информации";"Вредные факторы самого объекта";"Обратить вред в пользу"
"134";"Потери информации";"Удобство эксплуатации";"Дешевая недолговечность взамен дорогой долговечности"
"135";"Потери информации";"Удобство эксплуатации";"Обратить вред в пользу"
"136";"Потери информации";"Сложность контроля и измерения";"Однородности"
"137";"Потери информации";"Производительность";"Наоборот"
"138";"Потери информации";"Производительность";"Обратной связи"
"139";"Потери информации";"Производительность";"Динамичности"
"140";"Потери времени";"Время действия подвижного объекта";"Непрерывности полезного действия"
"141";"Потери времени";"Время действия подвижного объекта";"Предварительного действия"
"142";"Потери времени";"Время действия неподвижного объекта";"Непрерывности полезного действия"
"143";"Потери времени";"Время действия неподвижного объекта";"Предварительного действия"
"144";"Потери времени";"Время действия неподвижного объекта";"Частичного или избыточного действия"
"145";"Потери времени";"Затраты энергии подвижным объектом";"Периодического действия"
"146";"Потери времени";"Затраты энергии неподвижным объектом";"Дробления"
"147";"Потери времени";"Потери информации";"Посредника"
"148";"Потери времени";"Потери информации";"Копирования"
"149";"Потери времени";"Надёжность";"Предварительного действия"
"150";"Потери времени";"Надёжность";"Асиметрия"
"151";"Потери времени";"Точность измерения";"Посредника"
"152";"Потери времени";"Точность измерения";"Отброса и регенерации частей"
"153";"Потери времени";"Точность изготовления";"Посредника"
"154";"Потери времени";"Точность изготовления";"Копирования"
"155";"Потери времени";"Вредные факторы, действующие на объект";"Отброса и регенерации частей"
"156";"Потери времени";"Вредные факторы самого объекта";"Обратить вред в пользу"
"157";"Потери времени";"Удобство изготовления";"Отброса и регенерации частей"
"158";"Потери времени";"Удобство изготовления";"Асиметрия"
"159";"Потери времени";"Удобство эксплуатации";"Асиметрия"
"160";"Потери времени";"Удобство эксплуатации";"Предварительного действия"
"161";"Потери времени";"Удобство эксплуатации";"Отброса и регенерации частей"
"162";"Потери времени";"Удобство ремонта";"Дробления"
"163";"Потери времени";"Удобство ремонта";"Предварительного действия"
"164";"Потери времени";"Сложность устройства";"Универсальности"
"165";"Потери времени";"Сложность контроля и измерения";"Предварительного действия"
"166";"Надёжность";"Скорость";"Заранее подложенной подушки"
"167";"Надёжность";"Время действия подвижного объекта";"Вынесения"
"168";"Надёжность";"Время действия подвижного объекта";"Местного качества"
"169";"Надёжность";"Время действия подвижного объекта";"Самообслуживания"
"170";"Надёжность";"Время действия неподвижного объекта";"Отброса и регенерации частей"
"171";"Надёжность";"Время действия неподвижного объекта";"Дешевая недолговечность взамен дорогой долговечности"
"172";"Надёжность";"Время действия неподвижного объекта";"Универсальности"
"173";"Надёжность";"Затраты энергии подвижным объектом";"Заранее подложенной подушки"
"174";"Надёжность";"Затраты энергии подвижным объектом";"Дешевая недолговечность взамен дорогой долговечности"
"175";"Надёжность";"Затраты энергии подвижным объектом";"Периодического действия"
"176";"Надёжность";"Затраты энергии неподвижным объектом";"Обратной связи"
"177";"Надёжность";"Потери информации";"Предварительного действия"
"178";"Надёжность";"Потери времени";"Предварительного действия"
"179";"Надёжность";"Потери времени";"Асиметрия"
"180";"Надёжность";"Точность измерения";"Местного качества"
"181";"Надёжность";"Точность измерения";"Заранее подложенной подушки"
"182";"Надёжность";"Точность измерения";"Обратной связи"
"183";"Надёжность";"Точность изготовления";"Заранее подложенной подушки"
"184";"Надёжность";"Точность изготовления";"Дробления"
"185";"Надёжность";"Вредные факторы, действующие на объект";"Дешевая недолговечность взамен дорогой долговечности"
"186";"Надёжность";"Вредные факторы, действующие на объект";"Вынесения"
"187";"Надёжность";"Вредные факторы самого объекта";"Вынесения"
"188";"Надёжность";"Вредные факторы самого объекта";"Копирования"
"189";"Надёжность";"Удобство эксплуатации";"Дешевая недолговечность взамен дорогой долговечности"
"190";"Надёжность";"Удобство ремонта";"Дробления"
"191";"Надёжность";"Удобство ремонта";"Заранее подложенной подушки"
"192";"Надёжность";"Адаптация, универсальность";"Наоборот"
"193";"Надёжность";"Адаптация, универсальность";"Посредника"
"194";"Надёжность";"Сложность устройства";"Наоборот"
"195";"Надёжность";"Сложность устройства";"Дробления"
"196";"Надёжность";"Сложность контроля и измерения";"Дешевая недолговечность взамен дорогой долговечности"
"197";"Надёжность";"Производительность";"Дробления"
"198";"Точность измерения";"Скорость";"Наоборот"
"199";"Точность измерения";"Скорость";"Посредника"
"200";"Точность измерения";"Время действия подвижного объекта";"Универсальности"
"201";"Точность измерения";"Время действия неподвижного объекта";"Предварительного действия"
"202";"Точность измерения";"Время действия неподвижного объекта";"Частичного или избыточного действия"
"203";"Точность измерения";"Время действия неподвижного объекта";"Посредника"
"204";"Точность измерения";"Затраты энергии подвижным объектом";"Местного качества"
"205";"Точность измерения";"Затраты энергии подвижным объектом";"Универсальности"
"206";"Точность измерения";"Потери времени";"Посредника"
"207";"Точность измерения";"Потери времени";"Отброса и регенерации частей"
"208";"Точность измерения";"Надёжность";"Объединения"
"209";"Точность измерения";"Надёжность";"Заранее подложенной подушки"
"210";"Точность измерения";"Надёжность";"Дробления"
"211";"Точность измерения";"Надёжность";"Обратной связи"
"212";"Точность измерения";"Вредные факторы, действующие на объект";"Посредника"
"213";"Точность измерения";"Вредные факторы, действующие на объект";"Обратить вред в пользу"
"214";"Точность измерения";"Вредные факторы, действующие на объект";"Копирования"
"215";"Точность измерения";"Вредные факторы самого объекта";"Местного качества"
"216";"Точность измерения";"Вредные факторы самого объекта";"Предварительного действия"
"217";"Точность измерения";"Удобство изготовления";"Универсальности"
"218";"Точность измерения";"Удобство изготовления";"Самообслуживания"
"219";"Точность измерения";"Удобство эксплуатации";"Дробления"
"220";"Точность измерения";"Удобство эксплуатации";"Наоборот"
"221";"Точность измерения";"Удобство эксплуатации";"Отброса и регенерации частей"
"222";"Точность измерения";"Удобство ремонта";"Дробления"
"223";"Точность измерения";"Удобство ремонта";"Наоборот"
"224";"Точность измерения";"Удобство ремонта";"Заранее подложенной подушки"
"225";"Точность измерения";"Адаптация, универсальность";"Наоборот"
"226";"Точность измерения";"Адаптация, универсальность";"Вынесения"
"227";"Точность измерения";"Сложность устройства";"Дешевая недолговечность взамен дорогой долговечности"
"228";"Точность измерения";"Сложность устройства";"Предварительного действия"
"229";"Точность измерения";"Сложность устройства";"Отброса и регенерации частей"
"230";"Точность измерения";"Сложность контроля и измерения";"Копирования"
"231";"Точность измерения";"Сложность контроля и измерения";"Посредника"
"232";"Точность измерения";"Производительность";"Предварительного действия"
"233";"Точность измерения";"Производительность";"Отброса и регенерации частей"
"234";"Точность изготовления";"Скорость";"Предварительного действия"
"235";"Точность изготовления";"Время действия подвижного объекта";"Местного качества"
"236";"Точность изготовления";"Время действия подвижного объекта";"Дешевая недолговечность взамен дорогой долговечности"
"237";"Точность изготовления";"Затраты энергии подвижным объектом";"Вынесения"
"238";"Точность изготовления";"Потери времени";"Копирования"
"239";"Точность изготовления";"Надёжность";"Заранее подложенной подушки"
"240";"Точность изготовления";"Надёжность";"Дробления"
"241";"Точность изготовления";"Вредные факторы, действующие на объект";"Копирования"
"242";"Точность изготовления";"Вредные факторы, действующие на объект";"Предварительного действия"
"243";"Точность изготовления";"Вредные факторы самого объекта";"Асиметрия"
"244";"Точность изготовления";"Вредные факторы самого объекта";"Отброса и регенерации частей"
"245";"Точность изготовления";"Вредные факторы самого объекта";"Копирования"
"246";"Точность изготовления";"Удобство эксплуатации";"Дробления"
"247";"Точность изготовления";"Удобство эксплуатации";"Обратной связи"
"248";"Точность изготовления";"Удобство ремонта";"Самообслуживания"
"249";"Точность изготовления";"Удобство ремонта";"Предварительного действия"
"250";"Точность изготовления";"Сложность устройства";"Копирования"
"251";"Точность изготовления";"Сложность устройства";"Вынесения"
"252";"Точность изготовления";"Производительность";"Предварительного действия"
"253";"Вредные факторы, действующие на объект";"Скорость";"Обратить вред в пользу"
"254";"Вредные факторы, действующие на объект";"Время действия подвижного объекта";"Обратить вред в пользу"
"255";"Вредные факторы, действующие на объект";"Время действия подвижного объекта";"Динамичности"
"256";"Вредные факторы, действующие на объект";"Время действия подвижного объекта";"Однородности"
"257";"Вредные факторы, действующие на объект";"Время действия неподвижного объекта";"Дробления"
"258";"Вредные факторы, действующие на объект";"Время действия неподвижного объекта";"Однородности"
"259";"Вредные факторы, действующие на объект";"Затраты энергии подвижным объектом";"Дробления"
"260";"Вредные факторы, действующие на объект";"Затраты энергии подвижным объектом";"Посредника"
"261";"Вредные факторы, действующие на объект";"Затраты энергии подвижным объектом";"Универсальности"
"262";"Вредные факторы, действующие на объект";"Затраты энергии подвижным объектом";"Дешевая недолговечность взамен дорогой долговечности"
"263";"Вредные факторы, действующие на объект";"Затраты энергии неподвижным объектом";"Предварительного действия"
"264";"Вредные факторы, действующие на объект";"Затраты энергии неподвижным объектом";"Вынесения"
"265";"Вредные факторы, действующие на объект";"Затраты энергии неподвижным объектом";"Обратить вред в пользу"
"266";"Вредные факторы, действующие на объект";"Потери информации";"Обратить вред в пользу"
"267";"Вредные факторы, действующие на объект";"Потери информации";"Предварительного действия"
"268";"Вредные факторы, действующие на объект";"Потери информации";"Вынесения"
"269";"Вредные факторы, действующие на объект";"Потери времени";"Отброса и регенерации частей"
"270";"Вредные факторы, действующие на объект";"Надёжность";"Дешевая недолговечность взамен дорогой долговечности"
"271";"Вредные факторы, действующие на объект";"Надёжность";"Посредника"
"272";"Вредные факторы, действующие на объект";"Надёжность";"Вынесения"
"273";"Вредные факторы, действующие на объект";"Точность измерения";"Однородности"
"274";"Вредные факторы, действующие на объект";"Точность измерения";"Обратной связи"
"275";"Вредные факторы, действующие на объект";"Точность измерения";"Копирования"
